Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
F1,15/08/2021,14:00,Clermont,Troyes,2,0,H,0,0,D,18,6,8,1,9,2,6,11,1,3,0,1
F1,15/08/2021,14:00,Nantes,Metz,2,0,H,1,0,H,11,10,7,5,6,6,18,11,2,0,0,0
F1,15/08/2021,14:00,Reims,Montpellier,3,3,D,2,3,A,19,15,9,5,8,7,11,12,2,1,0,0
F1,15/08/2021,16:00,Lens,St Etienne,2,2,D,1,1,D,22,12,7,7,7,2,10,17,1,6,0,0
F1,15/08/2021,19:45,Marseille,Bordeaux,2,2,D,2,0,H,10,8,2,2,3,4,6,11,2,2,1,0
F1,20/08/2021,20:00,Brest,Paris SG,2,4,A,1,2,A,11,16,3,8,3,9,8,7,1,2,0,0
F1,21/08/2021,16:00,Monaco,Lens,0,2,A,0,0,D,9,4,2,2,13,3,11,14,1,1,1,1
F1,21/08/2021,20:00,St Etienne,Lille,1,1,D,0,1,A,10,8,2,6,5,3,14,10,1,3,0,0
F1,22/08/2021,12:00,Lyon,Clermont,3,3,D,3,1,H,21,17,9,5,5,8,10,6,2,2,0,0
F1,22/08/2021,14:00,Bordeaux,Angers,1,1,D,1,1,D,14,6,5,3,3,3,19,5,2,0,0,0
F1,22/08/2021,14:00,Metz,Reims,1,1,D,1,1,D,10,12,4,3,5,8,19,14,4,2,1,1
F1,22/08/2021,14:00,Montpellier,Lorient,3,1,H,0,1,A,32,5,11,4,5,1,8,13,0,6,0,2
F1,22/08/2021,14:00,Strasbourg,Troyes,1,1,D,0,1,A,14,10,4,6,6,3,16,17,3,1,0,0
F1,22/08/2021,16:00,Rennes,Nantes,1,0,H,0,0,D,14,4,5,1,6,2,14,13,2,2,0,0
F1,27/08/2021,20:00,Nantes,Lyon,0,1,A,0,1,A,18,12,5,5,6,6,7,11,2,2,0,1
F1,28/08/2021,16:00,Nice,Bordeaux,4,0,H,3,0,H,11,13,5,4,3,0,18,11,3,2,0,0
F1,28/08/2021,20:00,Marseille,St Etienne,3,1,H,1,1,D,19,11,5,7,5,4,11,18,1,3,0,0
F1,29/08/2021,12:00,Troyes,Monaco,1,2,A,0,1,A,12,7,3,4,5,3,11,11,1,2,0,0
F1,29/08/2021,14:00,Angers,Rennes,2,0,H,0,0,D,16,7,4,2,3,1,14,10,1,2,0,1
F1,29/08/2021,14:00,Clermont,Metz,2,2,D,1,2,A,16,12,4,4,6,3,11,15,1,2,0,0
F1,29/08/2021,14:00,Lens,Lorient,2,2,D,1,2,A,19,15,9,7,8,4,10,10,2,4,0,0
F1,29/08/2021,14:00,Strasbourg,Brest,3,1,H,2,1,H,11,11,5,5,1,9,12,10,1,1,0,0
F1,29/08/2021,16:00,Lille,Montpellier,2,1,H,1,1,D,15,6,4,3,3,4,15,19,3,7,0,1
F1,29/08/2021,19:45,Reims,Paris SG,0,2,A,0,1,A,11,12,4,3,3,3,13,13,1,3,0,0
F1,10/09/2021,20:00,Lorient,Lille,2,1,H,1,1,D,14,9,7,3,2,5,13,11,2,2,0,0
F1,11/09/2021,16:00,Paris SG,Clermont,4,0,H,2,0,H,13,14,7,2,4,4,13,9,0,1,0,0
F1,11/09/2021,20:00,Monaco,Marseille,0,2,A,0,1,A,7,13,0,5,3,2,17,8,4,1,0,0
F1,12/09/2021,12:00,Montpellier,St Etienne,2,0,H,1,0,H,11,14,4,2,7,6,15,17,1,4,0,0
F1,12/09/2021,14:00,Bordeaux,Lens,2,3,A,0,2,A,11,12,3,5,2,7,8,11,3,2,0,0
F1,12/09/2021,14:00,Brest,Angers,1,1,D,0,0,D,12,8,6,2,5,3,19,9,3,2,1,0
F1,12/09/2021,14:00,Metz,Troyes,0,2,A,0,0,D,16,10,2,5,2,1,15,14,2,1,0,0
F1,12/09/2021,14:00,Rennes,Reims,0,2,A,0,1,A,9,7,1,3,4,6,18,11,1,2,0,0
F1,12/09/2021,16:00,Nantes,Nice,0,2,A,0,0,D,19,9,7,3,8,3,7,13,2,3,0,0
F1,12/09/2021,19:45,Lyon,Strasbourg,3,1,H,1,0,H,14,12,7,4,4,6,8,11,2,1,0,0
F1,17/09/2021,20:00,Strasbourg,Metz,3,0,H,3,0,H,10,15,6,5,3,7,16,8,2,4,0,0
F1,18/09/2021,16:00,Lens,Lille,1,0,H,0,0,D,13,6,4,2,4,3,12,8,2,2,0,0
F1,18/09/2021,20:00,St Etienne,Bordeaux,1,2,A,0,1,A,12,13,5,3,7,2,9,11,1,4,0,0
F1,19/09/2021,12:00,Nice,Monaco,2,2,D,0,1,A,12,8,3,3,5,2,17,12,2,3,0,0
F1,19/09/2021,14:00,Angers,Nantes,1,4,A,1,3,A,10,8,5,4,10,5,10,16,2,2,0,0
F1,19/09/2021,14:00,Clermont,Brest,1,1,D,0,0,D,7,5,4,1,3,5,7,19,1,1,1,0
F1,19/09/2021,14:00,Reims,Lorient,0,0,D,0,0,D,10,6,2,3,5,6,12,14,2,3,0,0
F1,19/09/2021,14:00,Troyes,Montpellier,1,1,D,1,0,H,8,6,3,2,1,6,16,11,4,4,0,1
F1,19/09/2021,16:00,Marseille,Rennes,2,0,H,0,0,D,17,13,6,2,6,7,5,17,0,2,0,0
F1,19/09/2021,19:45,Paris SG,Lyon,2,1,H,0,0,D,14,12,5,5,10,4,13,19,3,1,0,0
F1,22/09/2021,18:00,Lille,Reims,2,1,H,2,0,H,7,11,4,5,4,4,16,14,2,1,0,0
F1,22/09/2021,18:00,Monaco,St Etienne,3,1,H,1,1,D,14,9,6,3,6,3,16,13,1,1,0,1
F1,22/09/2021,18:00,Montpellier,Bordeaux,3,3,D,1,2,A,15,15,6,7,6,6,10,8,0,2,0,0
F1,22/09/2021,18:00,Nantes,Brest,3,1,H,1,0,H,14,10,6,2,4,4,8,13,1,2,0,0
F1,22/09/2021,18:00,Rennes,Clermont,6,0,H,2,0,H,21,4,10,1,5,7,14,5,2,1,0,0
F1,22/09/2021,20:00,Angers,Marseille,0,0,D,0,0,D,9,6,1,1,4,2,9,7,1,3,0,0
F1,22/09/2021,20:00,Lens,Strasbourg,0,1,A,0,0,D,17,6,4,1,7,3,14,7,2,3,1,0
F1,22/09/2021,20:00,Lorient,Nice,1,0,H,1,0,H,8,13,1,1,6,5,12,16,2,4,1,0
F1,22/09/2021,20:00,Lyon,Troyes,3,1,H,0,1,A,15,12,8,7,7,3,7,9,1,3,0,0
F1,22/09/2021,20:00,Metz,Paris SG,1,2,A,1,1,D,6,15,2,5,3,3,12,12,6,2,1,0
F1,25/09/2021,16:00,St Etienne,Nice,0,3,A,0,1,A,11,14,6,9,2,9,9,13,0,2,0,0
F1,25/09/2021,18:00,Strasbourg,Lille,1,2,A,0,1,A,10,16,3,7,8,8,16,12,4,4,1,0
F1,25/09/2021,20:00,Lyon,Lorient,1,1,D,0,1,A,12,12,2,5,9,3,9,10,1,2,1,0
F1,25/09/2021,20:00,Paris SG,Montpellier,2,0,H,1,0,H,16,10,5,4,8,7,10,8,0,1,0,0
F1,26/09/2021,12:00,Bordeaux,Rennes,1,1,D,0,0,D,10,18,3,8,8,6,6,20,1,4,0,0
F1,26/09/2021,14:00,Brest,Metz,1,2,A,0,1,A,11,6,2,4,4,3,16,16,3,2,0,0
F1,26/09/2021,14:00,Reims,Nantes,3,1,H,0,0,D,9,11,5,2,3,7,14,10,1,1,0,0
F1,26/09/2021,14:00,Troyes,Angers,1,1,D,1,0,H,6,17,3,6,2,9,9,8,4,2,1,0
F1,26/09/2021,16:00,Clermont,Monaco,1,3,A,1,1,D,12,6,4,3,5,1,9,12,2,4,0,0
F1,26/09/2021,19:45,Marseille,Lens,2,3,A,2,2,D,14,14,4,5,5,7,4,14,2,1,0,0
F1,01/10/2021,20:00,Lens,Reims,2,0,H,1,0,H,13,3,7,0,5,3,13,13,3,1,0,1
F1,02/10/2021,16:00,Montpellier,Strasbourg,1,1,D,1,1,D,12,6,4,3,3,4,12,14,2,0,0,0
F1,02/10/2021,20:00,Nice,Brest,2,1,H,1,0,H,20,6,9,2,6,2,8,12,1,1,0,0
F1,03/10/2021,12:00,Rennes,Paris SG,2,0,H,1,0,H,12,13,4,0,4,4,9,4,2,3,0,0
F1,03/10/2021,14:00,Angers,Metz,3,2,H,0,1,A,18,2,5,2,12,2,16,11,1,3,0,0
F1,03/10/2021,14:00,Lorient,Clermont,1,1,D,0,1,A,6,8,1,4,4,4,19,12,2,1,0,0
F1,03/10/2021,14:00,Monaco,Bordeaux,3,0,H,1,0,H,12,4,4,1,10,2,12,13,2,1,0,0
F1,03/10/2021,14:00,Nantes,Troyes,2,0,H,0,0,D,8,15,4,4,3,7,14,10,2,2,0,0
F1,03/10/2021,16:00,Lille,Marseille,2,0,H,1,0,H,12,10,5,3,3,5,10,13,2,3,0,1
F1,03/10/2021,19:45,St Etienne,Lyon,1,1,D,0,1,A,18,15,6,5,6,4,14,10,2,3,0,1
F1,15/10/2021,20:00,Paris SG,Angers,2,1,H,0,1,A,13,7,2,2,6,5,8,10,1,2,0,0
F1,16/10/2021,16:00,Clermont,Lille,1,0,H,1,0,H,9,9,3,2,6,9,9,8,1,2,0,0
F1,16/10/2021,20:00,Lyon,Monaco,2,0,H,0,0,D,14,9,8,3,2,4,8,10,1,2,0,0
F1,17/10/2021,12:00,Troyes,Nice,1,0,H,1,0,H,8,11,3,3,3,3,10,20,2,1,0,0
F1,17/10/2021,14:00,Bordeaux,Nantes,1,1,D,0,0,D,8,13,1,7,2,5,10,16,2,3,0,0
F1,17/10/2021,14:00,Brest,Reims,1,1,D,0,1,A,9,13,4,2,7,7,18,13,3,4,0,0
F1,17/10/2021,14:00,Metz,Rennes,0,3,A,0,3,A,9,21,2,8,4,10,14,9,3,1,0,0
F1,17/10/2021,14:00,Strasbourg,St Etienne,5,1,H,2,1,H,12,4,6,2,7,4,18,10,3,2,0,1
F1,17/10/2021,16:00,Montpellier,Lens,1,0,H,0,0,D,15,19,6,5,3,2,8,16,4,4,1,0
F1,17/10/2021,19:45,Marseille,Lorient,4,1,H,1,1,D,16,15,6,7,6,4,7,10,0,1,0,0
F1,22/10/2021,20:00,St Etienne,Angers,2,2,D,0,1,A,17,4,6,2,6,1,12,18,0,3,0,0
F1,23/10/2021,16:00,Nantes,Clermont,2,1,H,1,0,H,8,4,4,1,1,3,15,11,1,0,1,1
F1,23/10/2021,20:00,Lille,Brest,1,1,D,1,1,D,13,13,3,5,5,4,10,15,1,2,0,0
F1,24/10/2021,12:00,Nice,Lyon,3,2,H,0,1,A,17,13,7,8,3,2,11,7,1,0,0,1
F1,24/10/2021,14:00,Lens,Metz,4,1,H,2,1,H,11,9,5,4,5,6,9,13,2,3,0,0
F1,24/10/2021,14:00,Lorient,Bordeaux,1,1,D,0,0,D,14,11,4,5,9,4,12,13,4,2,0,1
F1,24/10/2021,14:00,Reims,Troyes,1,2,A,1,1,D,18,7,5,4,7,1,14,13,4,2,1,0
F1,24/10/2021,14:00,Rennes,Strasbourg,1,0,H,0,0,D,17,8,3,2,11,6,6,11,1,2,0,0
F1,24/10/2021,16:00,Monaco,Montpellier,3,1,H,2,0,H,14,12,4,3,4,4,14,16,1,4,0,0
F1,24/10/2021,19:45,Marseille,Paris SG,0,0,D,0,0,D,15,10,1,4,4,5,7,8,1,2,0,1
F1,27/10/2021,20:00,Nice,Marseille,1,1,D,1,1,D,11,7,3,1,6,5,16,8,2,2,0,0
F1,29/10/2021,20:00,Paris SG,Lille,2,1,H,0,1,A,17,11,6,3,4,5,7,10,1,5,0,0
F1,30/10/2021,16:00,Metz,St Etienne,1,1,D,1,1,D,9,10,4,3,5,8,16,11,0,3,0,0
F1,30/10/2021,20:00,Lyon,Lens,2,1,H,2,0,H,13,18,4,10,3,5,7,13,1,2,0,0
F1,31/10/2021,12:00,Angers,Nice,1,2,A,1,0,H,3,14,2,5,3,8,14,9,1,2,0,0
F1,31/10/2021,14:00,Bordeaux,Reims,3,2,H,0,1,A,17,12,7,8,12,2,5,10,3,2,0,0
F1,31/10/2021,14:00,Montpellier,Nantes,2,0,H,0,0,D,19,12,10,1,5,5,12,23,3,5,0,0
F1,31/10/2021,14:00,Strasbourg,Lorient,4,0,H,3,0,H,15,5,6,0,6,3,12,10,1,0,0,0
F1,31/10/2021,14:00,Troyes,Rennes,2,2,D,2,1,H,14,13,5,5,5,12,6,15,0,1,0,0
F1,31/10/2021,16:00,Brest,Monaco,2,0,H,1,0,H,7,5,3,2,2,5,8,17,1,5,0,0
F1,31/10/2021,19:45,Clermont,Marseille,0,1,A,0,1,A,12,9,1,4,4,2,14,11,1,4,0,0
F1,05/11/2021,20:00,Lens,Troyes,4,0,H,3,0,H,28,14,12,6,4,2,14,8,1,1,0,0
F1,06/11/2021,16:00,Lille,Angers,1,1,D,1,0,H,11,9,6,5,4,8,13,9,2,2,1,0
F1,06/11/2021,20:00,Bordeaux,Paris SG,2,3,A,0,2,A,18,9,6,5,10,5,9,10,2,1,0,0
F1,07/11/2021,12:00,Marseille,Metz,0,0,D,0,0,D,15,12,3,4,9,7,8,9,1,3,0,1
F1,07/11/2021,14:00,Lorient,Brest,1,2,A,1,0,H,9,16,3,5,3,6,10,8,1,1,1,0
F1,07/11/2021,14:00,Nantes,Strasbourg,2,2,D,1,1,D,20,17,6,6,9,5,15,12,2,1,0,1
F1,07/11/2021,14:00,Reims,Monaco,0,0,D,0,0,D,11,12,4,3,5,6,9,13,0,2,0,0
F1,07/11/2021,14:00,St Etienne,Clermont,3,2,H,0,0,D,18,9,4,4,9,2,7,10,1,1,0,0
F1,07/11/2021,16:00,Nice,Montpellier,0,1,A,0,0,D,22,8,6,2,8,2,9,7,2,0,0,0
F1,07/11/2021,19:45,Rennes,Lyon,4,1,H,1,0,H,25,6,12,4,7,2,12,12,2,2,0,0
F1,19/11/2021,20:00,Monaco,Lille,2,2,D,1,2,A,17,15,8,8,6,5,15,16,3,5,1,0
F1,20/11/2021,16:00,Paris SG,Nantes,3,1,H,1,0,H,14,12,7,6,4,3,8,12,1,2,1,0
F1,20/11/2021,20:00,Rennes,Montpellier,2,0,H,2,0,H,30,4,7,2,8,2,9,10,1,3,0,1
F1,21/11/2021,12:00,Brest,Lens,4,0,H,3,0,H,13,14,5,5,5,5,7,7,1,2,0,1
F1,21/11/2021,14:00,Angers,Lorient,1,0,H,0,0,D,8,10,4,3,6,3,15,13,4,0,0,0
F1,21/11/2021,14:00,Metz,Bordeaux,3,3,D,1,2,A,20,19,9,5,2,4,12,11,2,2,1,0
F1,21/11/2021,14:00,Strasbourg,Reims,1,1,D,0,1,A,21,10,3,3,5,4,8,13,1,4,0,0
F1,21/11/2021,14:00,Troyes,St Etienne,0,1,A,0,0,D,15,14,3,4,6,8,13,11,1,4,0,0
F1,21/11/2021,16:00,Clermont,Nice,1,2,A,1,0,H,18,9,6,4,3,5,7,16,1,4,0,0
F1,26/11/2021,20:00,Lens,Angers,2,2,D,0,1,A,9,12,4,5,5,5,15,6,2,0,0,0
F1,27/11/2021,16:00,Lille,Nantes,1,1,D,1,1,D,10,7,3,3,12,1,7,12,1,2,0,1
F1,27/11/2021,20:00,Nice,Metz,0,1,A,0,1,A,20,4,2,1,8,1,13,12,2,2,0,0
F1,28/11/2021,12:00,St Etienne,Paris SG,1,3,A,1,1,D,8,15,4,8,5,5,7,10,3,1,1,0
F1,28/11/2021,14:00,Bordeaux,Brest,1,2,A,1,0,H,16,14,4,4,5,2,13,11,3,1,0,0
F1,28/11/2021,14:00,Lorient,Rennes,0,2,A,0,0,D,6,11,0,5,3,4,11,11,0,2,0,0
F1,28/11/2021,14:00,Monaco,Strasbourg,1,1,D,1,0,H,8,7,3,4,4,3,12,9,2,1,0,0
F1,28/11/2021,14:00,Reims,Clermont,1,0,H,0,0,D,12,4,3,0,4,1,13,13,2,2,0,0
F1,28/11/2021,16:00,Montpellier,Lyon,0,1,A,0,1,A,15,11,6,3,8,5,7,15,1,4,0,0
F1,28/11/2021,19:45,Marseille,Troyes,1,0,H,0,0,D,14,5,4,2,7,3,10,17,1,4,0,0
F1,01/12/2021,18:00,Angers,Monaco,1,3,A,0,2,A,9,14,3,8,4,4,13,18,1,2,0,0
F1,01/12/2021,18:00,Brest,St Etienne,1,0,H,0,0,D,8,13,3,3,1,3,8,9,2,3,0,0
F1,01/12/2021,18:00,Metz,Montpellier,1,3,A,0,2,A,20,10,7,7,7,4,14,9,2,2,0,0
F1,01/12/2021,18:00,Strasbourg,Bordeaux,5,2,H,3,1,H,19,13,6,2,5,2,14,13,2,3,0,0
F1,01/12/2021,18:00,Troyes,Lorient,2,0,H,2,0,H,10,9,3,3,4,3,12,11,1,1,0,0
F1,01/12/2021,20:00,Clermont,Lens,2,2,D,1,1,D,19,9,7,2,5,3,7,13,4,5,1,0
F1,01/12/2021,20:00,Lyon,Reims,1,2,A,0,0,D,14,8,6,4,3,4,14,17,3,2,0,0
F1,01/12/2021,20:00,Nantes,Marseille,0,1,A,0,1,A,3,15,1,5,4,6,13,7,3,2,1,0
F1,01/12/2021,20:00,Paris SG,Nice,0,0,D,0,0,D,22,4,5,2,6,5,5,13,2,2,0,0
F1,01/12/2021,20:00,Rennes,Lille,1,2,A,0,2,A,10,6,2,2,3,1,12,12,2,1,0,0
F1,04/12/2021,16:00,Marseille,Brest,1,2,A,1,0,H,16,9,4,4,5,0,10,7,1,2,0,0
F1,04/12/2021,18:00,Lille,Troyes,2,1,H,0,1,A,13,7,4,3,8,6,11,9,3,4,0,0
F1,04/12/2021,20:00,Lens,Paris SG,1,1,D,0,0,D,18,13,7,6,8,5,12,9,2,2,0,0
F1,05/12/2021,12:00,St Etienne,Rennes,0,5,A,0,3,A,12,18,2,10,7,2,10,7,1,0,0,0
F1,05/12/2021,14:00,Lorient,Nantes,0,1,A,0,0,D,17,5,2,1,8,3,8,13,1,3,0,0
F1,05/12/2021,14:00,Monaco,Metz,4,0,H,2,0,H,8,6,5,0,5,4,13,13,1,2,0,0
F1,05/12/2021,14:00,Montpellier,Clermont,1,0,H,1,0,H,8,10,2,3,1,3,19,15,3,3,0,1
F1,05/12/2021,14:00,Reims,Angers,1,2,A,0,0,D,5,13,2,4,7,4,8,13,4,3,1,0
F1,05/12/2021,16:00,Nice,Strasbourg,0,3,A,0,1,A,12,15,5,5,9,4,9,14,3,3,0,0
F1,05/12/2021,19:45,Bordeaux,Lyon,2,2,D,1,2,A,12,19,5,5,3,8,11,9,0,0,0,0
F1,10/12/2021,20:00,Nantes,Lens,3,2,H,0,2,A,15,4,5,2,8,2,10,10,3,3,0,0
F1,11/12/2021,16:00,Brest,Montpellier,0,4,A,0,1,A,17,9,6,4,8,2,16,6,2,1,0,0
F1,11/12/2021,20:00,Reims,St Etienne,2,0,H,1,0,H,17,4,6,0,11,5,19,16,2,2,0,1
F1,12/12/2021,12:00,Lille,Lyon,0,0,D,0,0,D,14,13,2,2,4,3,11,15,2,6,0,0
F1,12/12/2021,14:00,Angers,Clermont,0,1,A,0,0,D,12,17,3,3,8,3,8,12,1,2,0,0
F1,12/12/2021,14:00,Metz,Lorient,4,1,H,3,0,H,5,17,3,6,3,8,10,8,2,2,0,0
F1,12/12/2021,14:00,Rennes,Nice,1,2,A,0,1,A,20,7,8,3,11,6,10,11,1,4,0,0
F1,12/12/2021,14:00,Troyes,Bordeaux,1,2,A,1,1,D,21,8,3,4,8,1,11,15,3,3,0,0
F1,12/12/2021,16:00,Strasbourg,Marseille,0,2,A,0,0,D,11,8,3,3,8,3,10,12,2,1,0,0
F1,12/12/2021,19:45,Paris SG,Monaco,2,0,H,2,0,H,9,13,2,3,1,6,8,15,3,4,0,0
F1,22/12/2021,20:00,Bordeaux,Lille,2,3,A,2,1,H,12,12,3,3,5,6,10,7,1,3,0,0
F1,22/12/2021,20:00,Lorient,Paris SG,1,1,D,1,0,H,17,17,5,4,6,8,6,8,1,3,0,1
F1,22/12/2021,20:00,Lyon,Metz,1,1,D,0,0,D,18,6,6,2,13,2,12,19,2,3,0,0
F1,22/12/2021,20:00,Marseille,Reims,1,1,D,0,0,D,14,7,5,2,7,4,12,6,4,4,1,1
F1,22/12/2021,20:00,Monaco,Rennes,2,1,H,1,1,D,11,16,3,6,7,5,11,9,2,1,0,0
F1,22/12/2021,20:00,Montpellier,Angers,4,1,H,2,1,H,9,13,6,6,1,6,13,13,1,1,0,0
F1,22/12/2021,20:00,Nice,Lens,2,1,H,0,1,A,9,8,3,4,5,4,7,9,0,2,0,0
F1,22/12/2021,20:00,St Etienne,Nantes,0,1,A,0,0,D,13,8,6,3,5,4,13,12,1,1,0,0
F1,22/12/2021,20:00,Troyes,Brest,1,1,D,0,1,A,15,8,4,2,9,0,16,10,4,1,1,0
F1,07/01/2022,20:00,Bordeaux,Marseille,0,1,A,0,1,A,6,18,2,6,3,9,13,7,1,1,0,0
F1,08/01/2022,20:00,Lens,Rennes,1,0,H,0,0,D,11,5,4,0,12,1,5,6,1,1,0,0
F1,09/01/2022,12:00,Brest,Nice,0,3,A,0,1,A,26,9,10,4,14,3,5,11,0,3,0,1
F1,09/01/2022,14:00,Clermont,Reims,0,0,D,0,0,D,12,7,7,2,6,2,13,24,1,3,1,0
F1,09/01/2022,14:00,Metz,Strasbourg,0,2,A,0,0,D,7,19,1,7,4,3,11,6,1,1,0,0
F1,09/01/2022,16:05,Nantes,Monaco,0,0,D,0,0,D,8,9,4,1,5,2,17,12,1,2,0,0
F1,09/01/2022,19:45,Lyon,Paris SG,1,1,D,1,0,H,11,15,4,3,2,7,18,13,2,2,0,0
F1,14/01/2022,20:00,Nice,Nantes,2,1,H,1,1,D,13,11,5,3,3,5,8,17,2,1,0,0
F1,15/01/2022,16:00,St Etienne,Lens,1,2,A,1,0,H,13,14,4,4,6,6,9,13,1,1,0,0
F1,15/01/2022,20:00,Paris SG,Brest,2,0,H,1,0,H,20,6,9,3,9,6,10,8,5,3,0,0
F1,16/01/2022,12:00,Rennes,Bordeaux,6,0,H,2,0,H,19,5,11,1,9,1,9,9,1,5,0,1
F1,16/01/2022,14:00,Lorient,Angers,0,0,D,0,0,D,14,5,4,0,6,1,12,9,3,1,0,1
F1,16/01/2022,14:00,Monaco,Clermont,4,0,H,1,0,H,20,6,10,1,6,1,9,10,0,1,0,0
F1,16/01/2022,14:00,Reims,Metz,0,1,A,0,0,D,14,17,2,5,11,4,14,16,4,4,0,0
F1,16/01/2022,14:00,Strasbourg,Montpellier,3,1,H,0,1,A,19,9,8,5,7,3,18,9,2,2,0,1
F1,16/01/2022,16:05,Troyes,Lyon,0,1,A,0,1,A,6,19,2,8,4,7,9,12,2,1,0,0
F1,16/01/2022,19:45,Marseille,Lille,1,1,D,0,1,A,22,5,7,4,15,2,11,11,1,5,0,1
F1,19/01/2022,18:00,Clermont,Strasbourg,0,2,A,0,1,A,7,15,1,5,6,4,8,11,2,0,0,0
F1,19/01/2022,18:00,Lille,Lorient,3,1,H,3,0,H,13,18,5,5,4,2,8,11,0,0,0,0
F1,19/01/2022,18:00,Montpellier,Troyes,0,1,A,0,0,D,11,13,2,5,5,4,12,10,5,1,1,0
F1,21/01/2022,20:00,Lyon,St Etienne,1,0,H,1,0,H,11,4,4,1,2,2,15,17,1,4,0,0
F1,22/01/2022,16:00,Brest,Lille,2,0,H,1,0,H,9,17,3,5,5,10,7,10,2,3,0,0
F1,22/01/2022,20:00,Lens,Marseille,0,2,A,0,1,A,9,10,3,7,8,5,7,6,3,2,0,0
F1,23/01/2022,12:00,Metz,Nice,0,2,A,0,0,D,8,7,1,6,3,4,14,6,3,1,0,0
F1,23/01/2022,14:00,Angers,Troyes,2,1,H,2,1,H,10,11,3,6,3,3,16,21,1,3,0,0
F1,23/01/2022,14:00,Bordeaux,Strasbourg,4,3,H,3,1,H,13,18,6,6,1,3,11,11,5,2,0,0
F1,23/01/2022,14:00,Clermont,Rennes,2,1,H,0,1,A,12,13,4,4,4,6,9,17,2,3,0,0
F1,23/01/2022,14:00,Nantes,Lorient,4,2,H,1,0,H,12,15,8,6,7,6,12,10,3,0,0,0
F1,23/01/2022,16:05,Montpellier,Monaco,3,2,H,2,1,H,15,17,7,7,5,10,10,10,2,2,0,0
F1,23/01/2022,19:45,Paris SG,Reims,4,0,H,1,0,H,22,7,8,3,14,0,6,10,0,1,0,0
F1,26/01/2022,18:00,Angers,St Etienne,0,1,A,0,1,A,7,8,4,5,3,1,7,13,1,1,0,0
F1,01/02/2022,20:00,Lyon,Marseille,2,1,H,0,1,A,12,9,4,1,4,6,8,8,0,0,0,0
F1,04/02/2022,20:00,Marseille,Angers,5,2,H,2,2,D,18,4,8,2,6,2,13,13,0,3,0,0
F1,05/02/2022,16:00,St Etienne,Montpellier,3,1,H,0,1,A,27,3,8,2,11,0,11,4,1,0,0,0
F1,05/02/2022,20:00,Monaco,Lyon,2,0,H,2,0,H,10,19,6,5,3,4,17,14,1,2,0,0
F1,06/02/2022,12:00,Lorient,Lens,2,0,H,1,0,H,8,8,3,0,1,4,14,11,0,3,0,0
F1,06/02/2022,14:00,Nice,Clermont,0,1,A,0,0,D,7,14,3,5,5,3,10,9,1,1,0,0
F1,06/02/2022,14:00,Reims,Bordeaux,5,0,H,1,0,H,16,6,7,0,7,4,5,12,0,1,0,1
F1,06/02/2022,14:00,Strasbourg,Nantes,1,0,H,0,0,D,13,10,3,2,7,9,7,8,3,3,0,0
F1,06/02/2022,14:00,Troyes,Metz,0,0,D,0,0,D,9,6,2,0,6,7,8,14,1,2,0,0
F1,06/02/2022,16:00,Rennes,Brest,2,0,H,1,0,H,19,5,8,1,6,1,11,8,3,1,0,0
F1,06/02/2022,19:45,Lille,Paris SG,1,5,A,1,3,A,10,18,5,7,4,3,19,9,2,1,0,0
